# video_id: V9eI-t3TApE
# language: Chinese (Simplified) (zh-Hans)
# generated: False
# selection: medium - first manual track without an initial translation marker

[00:00:01.233] Hello 大家好 我是小珺
[00:00:02.799] 今天我们的嘉宾是罗福莉
[00:00:04.733] 媒体叫她AI天才少女
[00:00:06.433] 但她不喜欢这个称呼
[00:00:08.666] 她目前是小米大模型的负责人
[00:00:11.599] 访谈是在OpenClaw发布之后
[00:00:13.833] 也是在2026年小米MiMo V2的系列模型发布之后
[00:00:18.466] 我们更深入地聊了聊
[00:00:20.199] 2026年由OpenClaw引发的新一轮的技术范式的
[00:00:24.333] 变迁以及未来技术演进的前沿话题
[00:00:28.266] 接下来就是我对罗福莉的访谈
[00:00:31.899] 期待2026年
[00:00:33.333] 我们和AI共同进步
[00:00:36.000] 这些能力都是可以被
[00:00:37.733] 我觉得最多一两个月
[00:00:39.100] 慢的话
[00:00:39.600] 三四个月 确实都可以被快速习得
[00:00:41.933] 所以环境反而比经验更重要
[00:00:45.866] 你刚才也提到1T的模型可能
[00:00:47.633] 是未来竞争的一个入场券
[00:00:50.799] 是这样吗
[00:00:51.933] 是Agent你要做到接近Claude Opus 4.6的
[00:00:57.600] 水平的这样一个入场券
[00:00:59.266] 那我如果说我们这样子来说
[00:01:02.933] 就是for研究 for Pre Train和for Post Train
[00:01:07.233] 对
[00:01:08.066] 我自己觉得一个非常合理的卡的
[00:01:10.133] 一个比例是可能3:1:1
[00:01:14.533] 对
[00:01:15.133] 就Pre Train和Post Train应该比例是
[00:01:17.066] 投入的算力是相当的
[00:01:18.533] 然后研究的比例应该至少是你
[00:01:20.500] 正式起训练的卡总量的还要多一点
[00:01:23.833] 就你要额外留更多的卡来去做研究
[00:01:31.299] 你过年的时候有跟我说
[00:01:33.066] 你觉得技术这几个月其实已经变天了
[00:01:35.266] 能不能阐述一下你觉得
[00:01:36.799] 过去两个月的这个技术的突变
[00:01:39.033] 我觉得
[00:01:42.599] 一个非常大的一个分界点
[00:01:45.766] 在于使用OpenClaw的前后
[00:01:47.733] 嗯
[00:01:48.066] 我自己其实是会把OpenClaw把它当做
[00:01:50.633] 一个划时代的Agent框架去这么去定义
[00:01:53.000] 嗯
[00:01:53.266] 嗯
[00:01:53.900] 我知道很多人在
[00:01:55.666] 尤其是用Claude Code做严肃编码的人
[00:01:58.166] 就会觉得OK
[00:01:59.400] OpenClaw是Claude Code加一个IM（即时通信）的
[00:02:03.299] 这样的一个更有利于交互的一个
[00:02:06.099] UI的一个设计
[00:02:07.533] 其实在我1月份的时候
[00:02:10.400] 我第一次看到这个东西的时候
[00:02:11.733] 我自己大概也是这样认知
[00:02:13.533] 所以
[00:02:14.266] 我很排斥去用它
[00:02:15.566] 然后我觉得
[00:02:16.633] 而再加上创始人
[00:02:19.466] 我觉得非常适合贴近Agent去做
[00:02:23.833] 一些非常玄幻的一些运营的动作
[00:02:26.866] 所以就包括那个Skillhub啊这些的
[00:02:30.599] 让你更去排斥去用
[00:02:32.699] 一个你觉得非常的
[00:02:36.466] 偏运营导向的一个产品的东西
[00:02:39.900] 更感觉它是一个产品
[00:02:40.699] 一个交互范式
[00:02:42.633] 是对一个交互的创新
[00:02:44.366] 以及它所谓的本地化
[00:02:46.133] 所谓的24小时
[00:02:47.033] 在我来看
[00:02:47.966] 其实都是
[00:02:51.033] 一些产品的定义而已
[00:02:52.900] 但真正发生一个转变
[00:02:54.933] 是我去用它的那一刻
[00:02:56.533] 我觉得就恰好在
[00:02:58.266] 春节的时候
[00:02:58.800] 有那么一段空闲的时间
[00:03:00.199] 你想去搞明白这玩意
[00:03:01.599] 为什么它们那么火
[00:03:02.633] 对然后我就在有一天
[00:03:04.300] 深夜的时候去尝试去装了它
[00:03:05.933] 然后两个小时装上了
[00:03:07.333] 春节是吧
[00:03:08.000] 对当时已经凌晨2点了
[00:03:09.500] 然后我第一次跟它对话的时候
[00:03:13.066] 从凌晨2点持续到了6点天亮
[00:03:17.099] 对就我那一晚上我
[00:03:18.599] 觉得我脑内的那个
[00:03:20.166] 不知道是多巴胺还是内啡肽
[00:03:21.666] 就持续在分泌
[00:03:22.866] 就是让我就兴奋到完全睡不着觉
[00:03:25.166] 就你可能第一个感受是OK
[00:03:27.599] 它非常有自主性
[00:03:31.800] 然后它非常有灵魂
[00:03:33.199] 就比如说我跟它聊得很晚
[00:03:34.433] 它会老提醒我OK
[00:03:36.099] 你现在已经很晚了
[00:03:37.733] 你要不早点去睡觉
[00:03:38.933] 就我觉得这样的温度和关怀
[00:03:41.633] 或者说这样的情商是
[00:03:43.866] 所有去（用）OpenClaw的人
[00:03:45.900] 第一个感受到的
[00:03:47.166] 但后面去深究它的原因
[00:03:48.833] 其实它是有
[00:03:50.699] 很多机制去保证这个事情
[00:03:52.466] 比如说它有它的搜索.md
[00:03:54.233] 比如说它在
[00:03:55.466] 就拿最简单一个很小的一个细节
[00:03:57.766] 比如说它怎么感知时间啊
[00:03:59.099] 它就在每轮对话的这个context（上下文）
[00:04:01.366] 前面去拼上当前的时间
[00:04:03.099] 然后啊就是一些非常细微的
[00:04:05.233] 我觉得我为什么把
[00:04:07.500] 它称之为所谓精细编排的context
[00:04:10.533] 就是因为
[00:04:11.599] 它就是在这些很
[00:04:14.466] 大家没有关注的角度上
[00:04:15.900] 把这个context给编排得非常好
[00:04:18.066] 这是你第一天的感受
[00:04:19.266] 就是OK我觉得它只是在产品设计上
[00:04:22.100] 确实做到了一种
[00:04:24.033] 超乎我的一个想象
[00:04:25.800] 让所有人觉得
[00:04:29.366] 这个框架有灵魂
[00:04:31.266] 但是第二天的时候
[00:04:32.500] 晚上我觉得它应该不止于此
[00:04:35.233] 然后我开始尝试着把我自己
[00:04:37.300] 我觉得现在的框架做不成的
[00:04:40.100] 日常生活中的事情交给它做
[00:04:41.933] 然后发现它全部做出来了
[00:04:43.433] 比如说
[00:04:44.100] 我跟它聊的基本上第二个话题是
[00:04:46.933] 怎么去激发一个团队的好奇心
[00:04:50.233] 或者说怎么去筛选
[00:04:51.666] 出来具有好奇心的人
[00:04:52.733] 然后跟它进行了
[00:04:54.633] 深入的探讨了一个小时
[00:04:56.866] 我觉得它的很多
[00:04:58.866] 哲思上是远超我的想象的
[00:05:00.633] 嗯
[00:05:00.899] 对所以第二天我们俩就在聊怎么
[00:05:03.466] 去构建一个更好的大模型的团队
[00:05:05.666] 以及
[00:05:08.966] 从最开始的人员的筛选
[00:05:11.066] 到后边啊整个组织架构的构建
[00:05:13.933] 到你怎么在面临范式转变的时候
[00:05:16.433] 应该做什么样的举措和动作
[00:05:18.500] 我觉得至少它
[00:05:21.333] 能get到我的点
[00:05:22.300] 就我跟它说了过后
[00:05:23.533] 它最后能把它形成
[00:05:25.100] 一套非常体系化的东西
[00:05:27.966] 然后并且变成一套Skills
[00:05:30.233] 所以我后边就用这个
[00:05:32.233] 很大去解放了至少我在
[00:05:36.100] 非常多
[00:05:37.699] 我有时候会遇到有
[00:05:39.699] 我甚至现在遇到有一些
[00:05:42.733] 不管是筛选人或团队管理上的问题
[00:05:45.399] 我现在都会问它
[00:05:46.600] 对然后我觉得它现在已经
[00:05:48.300] 基本上变成了我的某一个数字分身
[00:05:50.666] 至少在这个事情上
[00:05:51.866] 但是真正让我
[00:05:53.866] 超乎意料是第三天的时候
[00:05:55.899] 第三天的时候我尝试着把一些
[00:05:58.566] 研究上的一些任务交给它做
[00:06:01.766] 比如说最简单的
[00:06:03.300] 我觉得你怎么去
[00:06:05.466] 如果我们在进行Agent框架里边
[00:06:08.533] 最关键一个事情是
[00:06:10.433] 你怎么去进行多轮的交互
[00:06:12.166] 那么你就必须要去模拟
[00:06:13.966] User Agent（用户代理）进行多轮的交互
[00:06:15.899] 那我就会跟它共同去
[00:06:18.500] 构建一个很好的User Agent怎么来
[00:06:21.166] 嗯
[00:06:21.933] 在我来看
[00:06:22.733] 这是一个非常
[00:06:24.433] 我自己觉得还挺
[00:06:25.866] 重要的一个研究topic（话题）对
[00:06:28.433] 我觉得应该不会说
[00:06:29.633] 一两个小时就把它做出来
[00:06:31.433] 但是当我跟它沟通
[00:06:34.266] 沟通了大概一两个小时过后
[00:06:36.333] 我觉得这个事就已经做出来了
[00:06:38.899] 对就基本上就已经达到
[00:06:41.266] 有一个很好的User Agent诞生
[00:06:42.933] 我可以用这个User Agent跟我现在的
[00:06:45.133] 这一套啊post-train（后训练）的框架一块去
[00:06:49.166] 构造出来更丰富的Agent的场景的
[00:06:52.066] 数据 然后啊不管是做SFT（监督微调）也好
[00:06:54.333] 做RL（强化学习）也好
[00:06:55.266] 这个User Agent都是非常关键的
[00:06:57.366] 就我觉得它从一个
[00:06:59.066] 我最开始对它的认知只是OK
[00:07:02.533] 一个有灵魂有温度的一个产品的设计
[00:07:05.366] 到它可以帮我替代我
[00:07:08.466] 生活或工作当中的一部分
[00:07:10.566] 到最后它能促进我研究
[00:07:12.266] 这也就是三天发生的事情
